Epoch 1 | Train Loss: 0.2187 | Train Acc: 93.53% | Val Loss: 0.2346 | Val Acc: 93.10%
Epoch 2 | Train Loss: 0.1452 | Train Acc: 95.60% | Val Loss: 0.1632 | Val Acc: 94.83%
Epoch 3 | Train Loss: 0.1102 | Train Acc: 96.68% | Val Loss: 0.1412 | Val Acc: 95.80%
Epoch 4 | Train Loss: 0.0962 | Train Acc: 97.08% | Val Loss: 0.1326 | Val Acc: 96.02%
Epoch 5 | Train Loss: 0.1073 | Train Acc: 96.54% | Val Loss: 0.1486 | Val Acc: 95.68%
Epoch 6 | Train Loss: 0.2878 | Train Acc: 91.18% | Val Loss: 0.3133 | Val Acc: 90.42%
Epoch 7 | Train Loss: 0.0620 | Train Acc: 98.06% | Val Loss: 0.1116 | Val Acc: 96.70%
Epoch 8 | Train Loss: 0.0773 | Train Acc: 97.58% | Val Loss: 0.1303 | Val Acc: 96.30%
Epoch 9 | Train Loss: 0.1801 | Train Acc: 94.34% | Val Loss: 0.2481 | Val Acc: 93.32%
Epoch 10 | Train Loss: 0.0648 | Train Acc: 98.04% | Val Loss: 0.1275 | Val Acc: 96.40%
96.39999999999999 96.27
