Epoch 1 | Train Loss: 0.3741 | Train Acc: 86.09% | Val Loss: 0.3759 | Val Acc: 86.33%
Epoch 2 | Train Loss: 0.2682 | Train Acc: 89.75% | Val Loss: 0.2691 | Val Acc: 89.95%
Epoch 3 | Train Loss: 0.2648 | Train Acc: 89.97% | Val Loss: 0.2651 | Val Acc: 90.35%
Epoch 4 | Train Loss: 0.2485 | Train Acc: 90.40% | Val Loss: 0.2478 | Val Acc: 90.50%
Epoch 5 | Train Loss: 0.2391 | Train Acc: 90.63% | Val Loss: 0.2395 | Val Acc: 90.57%
Epoch 6 | Train Loss: 0.2298 | Train Acc: 90.71% | Val Loss: 0.2294 | Val Acc: 91.08%
Epoch 7 | Train Loss: 0.2298 | Train Acc: 90.73% | Val Loss: 0.2295 | Val Acc: 90.98%
Epoch 8 | Train Loss: 0.2213 | Train Acc: 91.00% | Val Loss: 0.2212 | Val Acc: 91.15%
Epoch 9 | Train Loss: 0.2350 | Train Acc: 90.67% | Val Loss: 0.2351 | Val Acc: 90.78%
Epoch 10 | Train Loss: 0.2169 | Train Acc: 90.84% | Val Loss: 0.2165 | Val Acc: 91.13%
91.13333333333333 91.42
