Epoch 1 | Train Loss: 1.1516 | Train Acc: 11.27% | Val Loss: 1.1570 | Val Acc: 10.90%
Epoch 2 | Train Loss: 194.3347 | Train Acc: 9.74% | Val Loss: 194.1491 | Val Acc: 9.67%
Epoch 3 | Train Loss: 213.7089 | Train Acc: 9.85% | Val Loss: 213.4810 | Val Acc: 10.53%
Epoch 4 | Train Loss: 140.0703 | Train Acc: 9.75% | Val Loss: 139.9575 | Val Acc: 9.75%
Epoch 5 | Train Loss: 73.8172 | Train Acc: 11.27% | Val Loss: 73.7214 | Val Acc: 10.90%
Epoch 6 | Train Loss: 181.7707 | Train Acc: 9.75% | Val Loss: 181.6321 | Val Acc: 9.75%
Epoch 7 | Train Loss: 79.1848 | Train Acc: 9.75% | Val Loss: 79.1825 | Val Acc: 9.75%
Epoch 8 | Train Loss: 179.9935 | Train Acc: 11.27% | Val Loss: 180.0179 | Val Acc: 10.90%
Epoch 9 | Train Loss: 80.9716 | Train Acc: 9.02% | Val Loss: 80.9739 | Val Acc: 9.18%
Epoch 10 | Train Loss: 129.6710 | Train Acc: 9.74% | Val Loss: 129.7238 | Val Acc: 9.67%
9.666666666666666 9.82
