Epoch 1 | Train Loss: 169.8171 | Train Acc: 9.96% | Val Loss: 170.2916 | Val Acc: 10.35%
Epoch 2 | Train Loss: 54.1489 | Train Acc: 9.96% | Val Loss: 54.1428 | Val Acc: 10.45%
Epoch 3 | Train Loss: 131.5962 | Train Acc: 19.73% | Val Loss: 131.8980 | Val Acc: 20.35%
Epoch 4 | Train Loss: 65.0426 | Train Acc: 9.96% | Val Loss: 64.9095 | Val Acc: 10.35%
Epoch 5 | Train Loss: 13.5709 | Train Acc: 10.02% | Val Loss: 13.5952 | Val Acc: 9.83%
Epoch 6 | Train Loss: 99.8786 | Train Acc: 10.02% | Val Loss: 100.4064 | Val Acc: 9.82%
Epoch 7 | Train Loss: 86.1033 | Train Acc: 10.02% | Val Loss: 86.1646 | Val Acc: 9.83%
Epoch 8 | Train Loss: 109.1179 | Train Acc: 19.84% | Val Loss: 109.0981 | Val Acc: 18.73%
Epoch 9 | Train Loss: 87.7922 | Train Acc: 10.02% | Val Loss: 87.9308 | Val Acc: 9.83%
Epoch 10 | Train Loss: 87.0888 | Train Acc: 10.02% | Val Loss: 87.2211 | Val Acc: 9.83%
9.833333333333332 10.0
