Epoch 1 | Train Loss: 1.4185 | Train Acc: 70.12% | Val Loss: 1.4296 | Val Acc: 69.63%
Epoch 2 | Train Loss: 1.0324 | Train Acc: 78.34% | Val Loss: 1.0422 | Val Acc: 77.78%
Epoch 3 | Train Loss: 0.8363 | Train Acc: 81.93% | Val Loss: 0.8437 | Val Acc: 81.82%
Epoch 4 | Train Loss: 0.7186 | Train Acc: 83.78% | Val Loss: 0.7238 | Val Acc: 83.52%
Epoch 5 | Train Loss: 0.6404 | Train Acc: 85.14% | Val Loss: 0.6438 | Val Acc: 84.83%
Epoch 6 | Train Loss: 0.5847 | Train Acc: 86.15% | Val Loss: 0.5869 | Val Acc: 85.77%
Epoch 7 | Train Loss: 0.5431 | Train Acc: 86.79% | Val Loss: 0.5444 | Val Acc: 86.58%
Epoch 8 | Train Loss: 0.5107 | Train Acc: 87.30% | Val Loss: 0.5109 | Val Acc: 87.15%
Epoch 9 | Train Loss: 0.4847 | Train Acc: 87.72% | Val Loss: 0.4844 | Val Acc: 87.73%
Epoch 10 | Train Loss: 0.4635 | Train Acc: 88.09% | Val Loss: 0.4628 | Val Acc: 88.23%
88.23333333333333 88.8
