Epoch 1 | Train Loss: 0.4988 | Train Acc: 69.06% | Val Loss: 0.5052 | Val Acc: 68.17%
Epoch 2 | Train Loss: 0.3908 | Train Acc: 76.39% | Val Loss: 0.3980 | Val Acc: 76.08%
Epoch 3 | Train Loss: 0.3269 | Train Acc: 78.95% | Val Loss: 0.3345 | Val Acc: 78.50%
Epoch 4 | Train Loss: 0.2967 | Train Acc: 81.08% | Val Loss: 0.3042 | Val Acc: 80.48%
Epoch 5 | Train Loss: 0.2778 | Train Acc: 82.48% | Val Loss: 0.2846 | Val Acc: 81.83%
Epoch 6 | Train Loss: 0.2651 | Train Acc: 83.89% | Val Loss: 0.2723 | Val Acc: 83.25%
Epoch 7 | Train Loss: 0.2537 | Train Acc: 84.36% | Val Loss: 0.2607 | Val Acc: 83.97%
Epoch 8 | Train Loss: 0.2465 | Train Acc: 84.65% | Val Loss: 0.2533 | Val Acc: 84.35%
Epoch 9 | Train Loss: 0.2408 | Train Acc: 84.96% | Val Loss: 0.2471 | Val Acc: 84.35%
Epoch 10 | Train Loss: 0.2363 | Train Acc: 85.06% | Val Loss: 0.2425 | Val Acc: 84.60%
84.6 83.76
