Epoch 1 | Train Loss: 0.1802 | Train Acc: 94.55% | Val Loss: 0.1937 | Val Acc: 94.23%
Epoch 2 | Train Loss: 0.1248 | Train Acc: 96.19% | Val Loss: 0.1581 | Val Acc: 95.12%
Epoch 3 | Train Loss: 0.1063 | Train Acc: 96.75% | Val Loss: 0.1370 | Val Acc: 95.87%
Epoch 4 | Train Loss: 0.0970 | Train Acc: 96.94% | Val Loss: 0.1438 | Val Acc: 95.78%
Epoch 5 | Train Loss: 0.1741 | Train Acc: 94.22% | Val Loss: 0.2229 | Val Acc: 93.03%
Epoch 6 | Train Loss: 0.0721 | Train Acc: 97.81% | Val Loss: 0.1146 | Val Acc: 96.58%
Epoch 7 | Train Loss: 0.0644 | Train Acc: 97.94% | Val Loss: 0.1125 | Val Acc: 96.45%
Epoch 8 | Train Loss: 0.0603 | Train Acc: 98.13% | Val Loss: 0.1129 | Val Acc: 96.40%
Epoch 9 | Train Loss: 0.0615 | Train Acc: 97.98% | Val Loss: 0.1255 | Val Acc: 96.63%
Epoch 10 | Train Loss: 0.0945 | Train Acc: 96.88% | Val Loss: 0.1638 | Val Acc: 95.32%
95.31666666666668 95.1
