Epoch 1 | Train Loss: 0.1280 | Train Acc: 96.10% | Val Loss: 0.1403 | Val Acc: 95.62%
Epoch 2 | Train Loss: 0.0846 | Train Acc: 97.44% | Val Loss: 0.1111 | Val Acc: 96.37%
Epoch 3 | Train Loss: 0.0545 | Train Acc: 98.31% | Val Loss: 0.0818 | Val Acc: 97.47%
Epoch 4 | Train Loss: 0.0370 | Train Acc: 98.90% | Val Loss: 0.0758 | Val Acc: 97.55%
Epoch 5 | Train Loss: 0.0316 | Train Acc: 99.06% | Val Loss: 0.0723 | Val Acc: 97.92%
Epoch 6 | Train Loss: 0.1071 | Train Acc: 96.66% | Val Loss: 0.1549 | Val Acc: 95.62%
Epoch 7 | Train Loss: 0.0246 | Train Acc: 99.22% | Val Loss: 0.0885 | Val Acc: 97.47%
Epoch 8 | Train Loss: 0.0223 | Train Acc: 99.26% | Val Loss: 0.0865 | Val Acc: 97.60%
Epoch 9 | Train Loss: 0.0386 | Train Acc: 98.69% | Val Loss: 0.1287 | Val Acc: 96.67%
Epoch 10 | Train Loss: 0.0101 | Train Acc: 99.69% | Val Loss: 0.0770 | Val Acc: 98.08%
98.08333333333333 97.61999999999999
