Epoch 1 | Train Loss: 0.1812 | Train Acc: 93.29% | Val Loss: 0.1832 | Val Acc: 93.35%
Epoch 2 | Train Loss: 0.1826 | Train Acc: 94.76% | Val Loss: 0.1865 | Val Acc: 94.37%
Epoch 3 | Train Loss: 0.1421 | Train Acc: 95.45% | Val Loss: 0.1483 | Val Acc: 94.95%
Epoch 4 | Train Loss: 0.1183 | Train Acc: 96.08% | Val Loss: 0.1258 | Val Acc: 95.12%
Epoch 5 | Train Loss: 0.1695 | Train Acc: 95.73% | Val Loss: 0.1764 | Val Acc: 94.97%
Epoch 6 | Train Loss: 0.1529 | Train Acc: 96.00% | Val Loss: 0.1641 | Val Acc: 95.05%
Epoch 7 | Train Loss: 0.1003 | Train Acc: 97.24% | Val Loss: 0.1119 | Val Acc: 96.40%
Epoch 8 | Train Loss: 0.0840 | Train Acc: 97.49% | Val Loss: 0.0956 | Val Acc: 96.77%
Epoch 9 | Train Loss: 0.1039 | Train Acc: 97.47% | Val Loss: 0.1178 | Val Acc: 96.28%
Epoch 10 | Train Loss: 0.1122 | Train Acc: 97.25% | Val Loss: 0.1281 | Val Acc: 96.07%
96.06666666666666 95.69
