Epoch 1 | Train Loss: 0.2391 | Train Acc: 93.59% | Val Loss: 0.2393 | Val Acc: 93.43%
Epoch 2 | Train Loss: 0.1844 | Train Acc: 94.92% | Val Loss: 0.1875 | Val Acc: 94.70%
Epoch 3 | Train Loss: 0.1497 | Train Acc: 95.93% | Val Loss: 0.1569 | Val Acc: 95.45%
Epoch 4 | Train Loss: 0.1259 | Train Acc: 96.57% | Val Loss: 0.1369 | Val Acc: 96.07%
Epoch 5 | Train Loss: 0.1108 | Train Acc: 96.95% | Val Loss: 0.1250 | Val Acc: 96.53%
Epoch 6 | Train Loss: 0.0929 | Train Acc: 97.46% | Val Loss: 0.1105 | Val Acc: 96.92%
Epoch 7 | Train Loss: 0.0825 | Train Acc: 97.80% | Val Loss: 0.1053 | Val Acc: 96.85%
Epoch 8 | Train Loss: 0.0740 | Train Acc: 97.97% | Val Loss: 0.1026 | Val Acc: 96.95%
Epoch 9 | Train Loss: 0.0631 | Train Acc: 98.32% | Val Loss: 0.0904 | Val Acc: 97.22%
Epoch 10 | Train Loss: 0.0545 | Train Acc: 98.49% | Val Loss: 0.0862 | Val Acc: 97.42%
97.41666666666666 97.21
