Epoch 1 | Train Loss: 0.4800 | Train Acc: 70.65% | Val Loss: 0.4812 | Val Acc: 70.53%
Epoch 2 | Train Loss: 0.8359 | Train Acc: 48.61% | Val Loss: 0.8453 | Val Acc: 48.03%
Epoch 3 | Train Loss: 0.6215 | Train Acc: 61.40% | Val Loss: 0.6300 | Val Acc: 60.57%
Epoch 4 | Train Loss: 0.5257 | Train Acc: 67.58% | Val Loss: 0.5286 | Val Acc: 67.33%
Epoch 5 | Train Loss: 0.4544 | Train Acc: 72.28% | Val Loss: 0.4645 | Val Acc: 71.43%
Epoch 6 | Train Loss: 0.4162 | Train Acc: 73.79% | Val Loss: 0.4115 | Val Acc: 73.97%
Epoch 7 | Train Loss: 0.3777 | Train Acc: 75.93% | Val Loss: 0.3731 | Val Acc: 76.92%
Epoch 8 | Train Loss: 0.4400 | Train Acc: 73.09% | Val Loss: 0.4378 | Val Acc: 73.62%
Epoch 9 | Train Loss: 0.3999 | Train Acc: 74.92% | Val Loss: 0.3960 | Val Acc: 75.63%
Epoch 10 | Train Loss: 0.4402 | Train Acc: 71.76% | Val Loss: 0.4368 | Val Acc: 72.05%
72.05 72.97
