Epoch 1 | Train Loss: 0.8320 | Train Acc: 84.36% | Val Loss: 0.8326 | Val Acc: 84.60%
Epoch 2 | Train Loss: 0.5720 | Train Acc: 87.86% | Val Loss: 0.5705 | Val Acc: 88.27%
Epoch 3 | Train Loss: 0.4584 | Train Acc: 89.39% | Val Loss: 0.4562 | Val Acc: 89.67%
Epoch 4 | Train Loss: 0.3952 | Train Acc: 90.25% | Val Loss: 0.3931 | Val Acc: 90.47%
Epoch 5 | Train Loss: 0.3551 | Train Acc: 90.81% | Val Loss: 0.3531 | Val Acc: 91.03%
Epoch 6 | Train Loss: 0.3266 | Train Acc: 91.23% | Val Loss: 0.3247 | Val Acc: 91.45%
Epoch 7 | Train Loss: 0.3052 | Train Acc: 91.61% | Val Loss: 0.3037 | Val Acc: 91.65%
Epoch 8 | Train Loss: 0.2882 | Train Acc: 92.04% | Val Loss: 0.2874 | Val Acc: 91.78%
Epoch 9 | Train Loss: 0.2737 | Train Acc: 92.35% | Val Loss: 0.2731 | Val Acc: 92.23%
Epoch 10 | Train Loss: 0.2617 | Train Acc: 92.59% | Val Loss: 0.2617 | Val Acc: 92.45%
92.45 92.44
