Epoch 1 | Train Loss: 4.5777 | Train Acc: 10.43% | Val Loss: 4.5242 | Val Acc: 10.55%
Epoch 2 | Train Loss: 4.4113 | Train Acc: 10.43% | Val Loss: 4.3245 | Val Acc: 10.55%
Epoch 3 | Train Loss: 4.3275 | Train Acc: 9.84% | Val Loss: 4.2781 | Val Acc: 10.57%
Epoch 4 | Train Loss: 4.0790 | Train Acc: 9.97% | Val Loss: 4.0820 | Val Acc: 9.53%
Epoch 5 | Train Loss: 3.3961 | Train Acc: 9.03% | Val Loss: 3.4143 | Val Acc: 9.18%
Epoch 6 | Train Loss: 3.2368 | Train Acc: 9.85% | Val Loss: 3.2424 | Val Acc: 10.53%
Epoch 7 | Train Loss: 4.2879 | Train Acc: 11.27% | Val Loss: 4.3436 | Val Acc: 10.90%
Epoch 8 | Train Loss: 3.2946 | Train Acc: 9.85% | Val Loss: 3.2601 | Val Acc: 10.53%
Epoch 9 | Train Loss: 4.8867 | Train Acc: 9.81% | Val Loss: 4.8971 | Val Acc: 10.40%
Epoch 10 | Train Loss: 5.6240 | Train Acc: 10.26% | Val Loss: 5.6566 | Val Acc: 9.82%
9.816666666666666 10.100000000000001
