Epoch 1 | Train Loss: 0.4358 | Train Acc: 84.40% | Val Loss: 0.4437 | Val Acc: 83.92%
Epoch 2 | Train Loss: 0.3866 | Train Acc: 86.00% | Val Loss: 0.4116 | Val Acc: 84.80%
Epoch 3 | Train Loss: 0.3645 | Train Acc: 86.45% | Val Loss: 0.3957 | Val Acc: 85.18%
Epoch 4 | Train Loss: 0.3181 | Train Acc: 88.39% | Val Loss: 0.3606 | Val Acc: 87.17%
Epoch 5 | Train Loss: 0.2973 | Train Acc: 89.12% | Val Loss: 0.3508 | Val Acc: 87.52%
Epoch 6 | Train Loss: 0.2893 | Train Acc: 89.46% | Val Loss: 0.3483 | Val Acc: 87.45%
Epoch 7 | Train Loss: 0.2895 | Train Acc: 89.30% | Val Loss: 0.3469 | Val Acc: 87.08%
Epoch 8 | Train Loss: 0.2596 | Train Acc: 90.46% | Val Loss: 0.3199 | Val Acc: 88.37%
Epoch 9 | Train Loss: 0.2653 | Train Acc: 90.06% | Val Loss: 0.3436 | Val Acc: 87.70%
Epoch 10 | Train Loss: 0.2333 | Train Acc: 91.48% | Val Loss: 0.3152 | Val Acc: 88.95%
88.94999999999999 88.14
