Epoch 1 | Train Loss: 0.4957 | Train Acc: 81.86% | Val Loss: 0.5125 | Val Acc: 80.90%
Epoch 2 | Train Loss: 0.3669 | Train Acc: 86.78% | Val Loss: 0.3864 | Val Acc: 86.07%
Epoch 3 | Train Loss: 0.4644 | Train Acc: 84.53% | Val Loss: 0.4910 | Val Acc: 83.67%
Epoch 4 | Train Loss: 0.3226 | Train Acc: 88.19% | Val Loss: 0.3623 | Val Acc: 86.65%
Epoch 5 | Train Loss: 0.2969 | Train Acc: 89.31% | Val Loss: 0.3413 | Val Acc: 87.82%
Epoch 6 | Train Loss: 0.3770 | Train Acc: 85.97% | Val Loss: 0.4254 | Val Acc: 84.77%
Epoch 7 | Train Loss: 0.2594 | Train Acc: 90.73% | Val Loss: 0.3207 | Val Acc: 88.18%
Epoch 8 | Train Loss: 0.2515 | Train Acc: 90.79% | Val Loss: 0.3184 | Val Acc: 88.33%
Epoch 9 | Train Loss: 0.2467 | Train Acc: 91.04% | Val Loss: 0.3237 | Val Acc: 88.53%
Epoch 10 | Train Loss: 0.2406 | Train Acc: 91.13% | Val Loss: 0.3289 | Val Acc: 88.62%
88.61666666666666 87.92
