Epoch 1 | Train Loss: 0.2375 | Train Acc: 93.06% | Val Loss: 0.2369 | Val Acc: 93.05%
Epoch 2 | Train Loss: 0.1896 | Train Acc: 94.44% | Val Loss: 0.1933 | Val Acc: 94.30%
Epoch 3 | Train Loss: 0.1576 | Train Acc: 95.44% | Val Loss: 0.1679 | Val Acc: 95.25%
Epoch 4 | Train Loss: 0.1543 | Train Acc: 95.38% | Val Loss: 0.1738 | Val Acc: 94.88%
Epoch 5 | Train Loss: 0.1116 | Train Acc: 96.77% | Val Loss: 0.1309 | Val Acc: 96.42%
Epoch 6 | Train Loss: 0.1293 | Train Acc: 96.08% | Val Loss: 0.1522 | Val Acc: 95.45%
Epoch 7 | Train Loss: 0.0853 | Train Acc: 97.59% | Val Loss: 0.1131 | Val Acc: 96.82%
Epoch 8 | Train Loss: 0.0762 | Train Acc: 97.78% | Val Loss: 0.1087 | Val Acc: 96.85%
Epoch 9 | Train Loss: 0.0686 | Train Acc: 97.95% | Val Loss: 0.1063 | Val Acc: 96.70%
Epoch 10 | Train Loss: 0.0630 | Train Acc: 98.18% | Val Loss: 0.1064 | Val Acc: 96.95%
96.95 96.83
