Epoch 1 | Train Loss: 0.1958 | Train Acc: 94.09% | Val Loss: 0.2096 | Val Acc: 93.47%
Epoch 2 | Train Loss: 0.1297 | Train Acc: 95.90% | Val Loss: 0.1585 | Val Acc: 94.95%
Epoch 3 | Train Loss: 0.0926 | Train Acc: 97.06% | Val Loss: 0.1199 | Val Acc: 96.22%
Epoch 4 | Train Loss: 0.0740 | Train Acc: 97.74% | Val Loss: 0.1105 | Val Acc: 96.73%
Epoch 5 | Train Loss: 0.0450 | Train Acc: 98.69% | Val Loss: 0.0830 | Val Acc: 97.57%
Epoch 6 | Train Loss: 0.0428 | Train Acc: 98.71% | Val Loss: 0.0932 | Val Acc: 97.18%
Epoch 7 | Train Loss: 0.0356 | Train Acc: 98.95% | Val Loss: 0.0869 | Val Acc: 97.30%
Epoch 8 | Train Loss: 0.0277 | Train Acc: 99.15% | Val Loss: 0.0895 | Val Acc: 97.32%
Epoch 9 | Train Loss: 0.0207 | Train Acc: 99.40% | Val Loss: 0.0863 | Val Acc: 97.48%
Epoch 10 | Train Loss: 0.0221 | Train Acc: 99.32% | Val Loss: 0.0908 | Val Acc: 97.48%
97.48333333333333 97.28
