Epoch 1 | Train Loss: 2.1935 | Train Acc: 19.73% | Val Loss: 2.1983 | Val Acc: 19.27%
Epoch 2 | Train Loss: 2.1045 | Train Acc: 26.03% | Val Loss: 2.1089 | Val Acc: 24.88%
Epoch 3 | Train Loss: 2.0228 | Train Acc: 33.11% | Val Loss: 2.0270 | Val Acc: 32.25%
Epoch 4 | Train Loss: 1.9474 | Train Acc: 39.58% | Val Loss: 1.9514 | Val Acc: 39.38%
Epoch 5 | Train Loss: 1.8773 | Train Acc: 45.10% | Val Loss: 1.8812 | Val Acc: 45.10%
Epoch 6 | Train Loss: 1.8120 | Train Acc: 49.67% | Val Loss: 1.8158 | Val Acc: 49.57%
Epoch 7 | Train Loss: 1.7510 | Train Acc: 53.43% | Val Loss: 1.7548 | Val Acc: 53.27%
Epoch 8 | Train Loss: 1.6939 | Train Acc: 56.65% | Val Loss: 1.6978 | Val Acc: 56.70%
Epoch 9 | Train Loss: 1.6405 | Train Acc: 59.43% | Val Loss: 1.6444 | Val Acc: 59.57%
Epoch 10 | Train Loss: 1.5905 | Train Acc: 61.87% | Val Loss: 1.5943 | Val Acc: 62.20%
62.2 62.61
