Epoch 1 | Train Loss: 0.4246 | Train Acc: 85.02% | Val Loss: 0.4335 | Val Acc: 84.02%
Epoch 2 | Train Loss: 0.3835 | Train Acc: 86.23% | Val Loss: 0.3988 | Val Acc: 85.40%
Epoch 3 | Train Loss: 0.3480 | Train Acc: 87.56% | Val Loss: 0.3667 | Val Acc: 86.95%
Epoch 4 | Train Loss: 0.3463 | Train Acc: 87.35% | Val Loss: 0.3662 | Val Acc: 86.00%
Epoch 5 | Train Loss: 0.3206 | Train Acc: 88.51% | Val Loss: 0.3467 | Val Acc: 87.33%
Epoch 6 | Train Loss: 0.3188 | Train Acc: 88.46% | Val Loss: 0.3496 | Val Acc: 87.20%
Epoch 7 | Train Loss: 0.3018 | Train Acc: 89.07% | Val Loss: 0.3372 | Val Acc: 87.72%
Epoch 8 | Train Loss: 0.2979 | Train Acc: 89.19% | Val Loss: 0.3360 | Val Acc: 87.68%
Epoch 9 | Train Loss: 0.2896 | Train Acc: 89.57% | Val Loss: 0.3315 | Val Acc: 87.83%
Epoch 10 | Train Loss: 0.2900 | Train Acc: 89.38% | Val Loss: 0.3361 | Val Acc: 87.92%
87.91666666666667 86.87
