Epoch 1 | Train Loss: 0.2430 | Train Acc: 90.71% | Val Loss: 0.2423 | Val Acc: 90.87%
Epoch 2 | Train Loss: 0.1882 | Train Acc: 92.41% | Val Loss: 0.1879 | Val Acc: 92.35%
Epoch 3 | Train Loss: 0.1445 | Train Acc: 93.78% | Val Loss: 0.1447 | Val Acc: 93.58%
Epoch 4 | Train Loss: 0.1383 | Train Acc: 94.53% | Val Loss: 0.1400 | Val Acc: 94.18%
Epoch 5 | Train Loss: 0.1438 | Train Acc: 94.73% | Val Loss: 0.1464 | Val Acc: 94.27%
Epoch 6 | Train Loss: 0.1399 | Train Acc: 95.39% | Val Loss: 0.1433 | Val Acc: 94.95%
Epoch 7 | Train Loss: 0.1157 | Train Acc: 95.72% | Val Loss: 0.1203 | Val Acc: 95.07%
Epoch 8 | Train Loss: 0.1135 | Train Acc: 95.77% | Val Loss: 0.1179 | Val Acc: 95.33%
Epoch 9 | Train Loss: 0.0992 | Train Acc: 96.10% | Val Loss: 0.1048 | Val Acc: 95.73%
Epoch 10 | Train Loss: 0.1090 | Train Acc: 96.13% | Val Loss: 0.1151 | Val Acc: 95.67%
95.66666666666667 95.5
