Epoch 1 | Train Loss: 0.2106 | Train Acc: 93.94% | Val Loss: 0.2152 | Val Acc: 93.77%
Epoch 2 | Train Loss: 0.1490 | Train Acc: 95.86% | Val Loss: 0.1601 | Val Acc: 95.18%
Epoch 3 | Train Loss: 0.1223 | Train Acc: 96.56% | Val Loss: 0.1379 | Val Acc: 95.88%
Epoch 4 | Train Loss: 0.1031 | Train Acc: 97.09% | Val Loss: 0.1202 | Val Acc: 96.17%
Epoch 5 | Train Loss: 0.0887 | Train Acc: 97.47% | Val Loss: 0.1091 | Val Acc: 96.80%
Epoch 6 | Train Loss: 0.0852 | Train Acc: 97.46% | Val Loss: 0.1093 | Val Acc: 96.43%
Epoch 7 | Train Loss: 0.0621 | Train Acc: 98.31% | Val Loss: 0.0888 | Val Acc: 97.27%
Epoch 8 | Train Loss: 0.0545 | Train Acc: 98.57% | Val Loss: 0.0836 | Val Acc: 97.48%
Epoch 9 | Train Loss: 0.0465 | Train Acc: 98.80% | Val Loss: 0.0842 | Val Acc: 97.40%
Epoch 10 | Train Loss: 0.0394 | Train Acc: 99.03% | Val Loss: 0.0758 | Val Acc: 97.65%
97.65 97.58
