Epoch 1 | Train Loss: 0.7121 | Train Acc: 71.65% | Val Loss: 0.7261 | Val Acc: 70.83%
Epoch 2 | Train Loss: 0.7054 | Train Acc: 71.04% | Val Loss: 0.7254 | Val Acc: 70.12%
Epoch 3 | Train Loss: 0.5750 | Train Acc: 77.83% | Val Loss: 0.5888 | Val Acc: 77.02%
Epoch 4 | Train Loss: 0.4649 | Train Acc: 82.65% | Val Loss: 0.4913 | Val Acc: 81.92%
Epoch 5 | Train Loss: 0.4634 | Train Acc: 82.94% | Val Loss: 0.4815 | Val Acc: 82.22%
Epoch 6 | Train Loss: 0.4026 | Train Acc: 85.41% | Val Loss: 0.4399 | Val Acc: 84.43%
Epoch 7 | Train Loss: 0.3914 | Train Acc: 85.65% | Val Loss: 0.4253 | Val Acc: 84.58%
Epoch 8 | Train Loss: 0.4423 | Train Acc: 83.70% | Val Loss: 0.4770 | Val Acc: 83.13%
Epoch 9 | Train Loss: 0.3826 | Train Acc: 86.41% | Val Loss: 0.4190 | Val Acc: 84.88%
Epoch 10 | Train Loss: 0.3865 | Train Acc: 85.22% | Val Loss: 0.4350 | Val Acc: 83.78%
83.78333333333333 82.72
