Epoch 1 | Train Loss: 0.3165 | Train Acc: 91.31% | Val Loss: 0.3135 | Val Acc: 91.37%
Epoch 2 | Train Loss: 0.2756 | Train Acc: 92.40% | Val Loss: 0.2744 | Val Acc: 92.48%
Epoch 3 | Train Loss: 0.2523 | Train Acc: 92.93% | Val Loss: 0.2528 | Val Acc: 92.90%
Epoch 4 | Train Loss: 0.2335 | Train Acc: 93.55% | Val Loss: 0.2347 | Val Acc: 93.55%
Epoch 5 | Train Loss: 0.2151 | Train Acc: 94.01% | Val Loss: 0.2175 | Val Acc: 94.07%
Epoch 6 | Train Loss: 0.2019 | Train Acc: 94.38% | Val Loss: 0.2066 | Val Acc: 94.17%
Epoch 7 | Train Loss: 0.1882 | Train Acc: 94.76% | Val Loss: 0.1945 | Val Acc: 94.65%
Epoch 8 | Train Loss: 0.1776 | Train Acc: 95.09% | Val Loss: 0.1856 | Val Acc: 94.65%
Epoch 9 | Train Loss: 0.1663 | Train Acc: 95.44% | Val Loss: 0.1752 | Val Acc: 95.07%
Epoch 10 | Train Loss: 0.1571 | Train Acc: 95.65% | Val Loss: 0.1666 | Val Acc: 95.23%
95.23333333333333 95.38
