Epoch 1 | Train Loss: 2.3101 | Train Acc: 9.81% | Val Loss: 2.3086 | Val Acc: 10.40%
Epoch 2 | Train Loss: 2.3017 | Train Acc: 11.27% | Val Loss: 2.3023 | Val Acc: 10.90%
Epoch 3 | Train Loss: 2.3020 | Train Acc: 11.27% | Val Loss: 2.3032 | Val Acc: 10.90%
Epoch 4 | Train Loss: 2.3020 | Train Acc: 11.27% | Val Loss: 2.3024 | Val Acc: 10.90%
Epoch 5 | Train Loss: 2.3019 | Train Acc: 11.27% | Val Loss: 2.3034 | Val Acc: 10.90%
Epoch 6 | Train Loss: 2.3020 | Train Acc: 11.27% | Val Loss: 2.3035 | Val Acc: 10.90%
Epoch 7 | Train Loss: 2.3021 | Train Acc: 10.26% | Val Loss: 2.3033 | Val Acc: 9.82%
Epoch 8 | Train Loss: 2.3021 | Train Acc: 11.27% | Val Loss: 2.3036 | Val Acc: 10.90%
Epoch 9 | Train Loss: 2.3013 | Train Acc: 11.27% | Val Loss: 2.3024 | Val Acc: 10.90%
Epoch 10 | Train Loss: 2.3015 | Train Acc: 11.27% | Val Loss: 2.3021 | Val Acc: 10.90%
10.9 11.35
